Model,Fold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,Positive-class F1,Macro F1,ROC-AUC,Brier score,TN,FP,FN,TP
Logistic Regression,1,0.851063829787234,0.837962962962963,0.8823529411764706,0.75,0.9259259259259259,0.8108108108108109,0.8440018966334756,0.9333333333333332,0.11794733193579071,25,2,5,15
SVM (RBF),1,0.851063829787234,0.8444444444444444,0.8421052631578947,0.8,0.8888888888888888,0.8205128205128205,0.8466200466200466,0.937037037037037,0.10595967642237661,24,3,4,16
Decision Tree,1,0.8723404255319149,0.8564814814814814,0.9375,0.75,0.9629629629629629,0.8333333333333334,0.8649425287356323,0.8944444444444444,0.11177982364468915,26,1,5,15
Random Forest,1,0.8723404255319149,0.8629629629629629,0.8888888888888888,0.8,0.9259259259259259,0.8421052631578947,0.8674812030075187,0.9185185185185185,0.11129157446808512,25,2,4,16
Gradient Boosting,1,0.8723404255319149,0.8629629629629629,0.8888888888888888,0.8,0.9259259259259259,0.8421052631578947,0.8674812030075187,0.9296296296296297,0.10289825471124196,25,2,4,16
Soft Voting Ensemble,1,0.8723404255319149,0.8629629629629629,0.8888888888888888,0.8,0.9259259259259259,0.8421052631578947,0.8674812030075187,0.9481481481481481,0.10050438930167219,25,2,4,16
Stacking Ensemble,1,0.8723404255319149,0.8629629629629629,0.8888888888888888,0.8,0.9259259259259259,0.8421052631578947,0.8674812030075187,0.9407407407407407,0.09643603198611905,25,2,4,16
Logistic Regression,2,0.7872340425531915,0.7953703703703703,0.7083333333333334,0.85,0.7407407407407407,0.7727272727272727,0.7863636363636364,0.8722222222222222,0.1564528674698511,20,7,3,17
SVM (RBF),2,0.8085106382978723,0.8203703703703704,0.72,0.9,0.7407407407407407,0.8,0.8081632653061225,0.8740740740740741,0.14897119225604905,20,7,2,18
Decision Tree,2,0.7659574468085106,0.7574074074074073,0.7368421052631579,0.7,0.8148148148148148,0.717948717948718,0.7589743589743589,0.7666666666666666,0.20859647943245058,22,5,6,14
